Yr Period Power Span Length Weight Speed Range
70 3 582 16.2 15 4536 267 1610
70 3 223.5 10.4 8 1508 357 1512
70 3 5070 28.7 22.7 26500 540 2220
71 3 1044 14.23 13.52 4683 526 2718
71 3 19400 13.95 22.3 36200 3019 1300
71 3 324 10.7 8.8 1860 532 2357
71 3 1014 14 12.2 5216 436 2483
71 3 1158 19 15.2 6500 359 1760
71 3 134 10 7.9 1111 228 1106
71 3 42328 50.5 46.59 170000 775 6700
71 3 5844 7.88 17.84 9805 1725 2593
71 3 462 11.6 10.5 2717 452 2552
71 3 596 16.46 12.56 3855 311 1352
72 3 1268 16.6 13.3 5670 515 3495
72 3 9800 14 18.75 17700 2340 630
72 3 156.6 10.85 7.63 1338 315 1106
72 3 261 12.4 10.55 3175 409 1761
72 3 7440 16.15 16.69 27397 1043 3096
72 3 58800 50.41 55.5 259450 908 7413
72 3 7252 17.53 16.26 21500 722 1000
72 3 1118 15.3 15.1 5670 417 1900
72 3 20000 13.05 19.43 25401 2696 4631
72 3 60000 47.35 50.05 224982 898 9653
73 3 2368 9.11 12.29 7000 1020 2000
73 3 6880 8.69 16.83 15500 1593 1315
73 3 4000 8.13 14.68 11193 1757 2483
74 3 19760 17.15 21.29 39500 2156 3600
74 3 2136 9.4 11.2 7755 1000 556
74 3 12200 13.9 16.7 26490 2156 1390
74 3 7420 20.93 16.25 23831 834 3706
74 3 10000 9.45 14.52 12652 2156 925
74 3 254 13.1 9.3 2040 259 1297
74 3 1786 22.76 17.69 10387 352 1695
74 3 4410 9.6 14.31 12000 1204 650
74 3 4206 29.2 24.3 23000 540 2360
75 3 560 14.1 12 3810 430 3402
75 3 1800 6.73 9.04 4170 1152 204
75 3 426 17 12.02 3500 220 400
75 3 1670 28.34 24.58 19731 436 2093
75 3 17040 34.2 36.38 52000 820 1000
75 3 298 11.85 8.69 2073 361 1129
76 3 5280 16.6 18.42 20185 880 5132
76 3 134 9.73 7.11 960 220 2000
76 3 7160 8.22 16.35 14600 2480 835
76 3 45856 48.06 59.54 198000 925 4600
76 3 1600 10.9 11 5895 898 1760
76 3 7000 7.32 15.25 11565 1009 740
77 3 70544 28.8 65.7 180000 2534 6500
77 3 5844 7.88 17.85 13700 1700 2593
77 3 4000 9.62 14.9 10097 1160 520
77 3 119 10.67 7.25 1054 233 1176
77 3 11464 25.83 26.58 33000 760 1000
77 3 82 10 7.3 757 204 769
77 3 268 11.6 8.9 1769 308 1445
77 3 5844 7.88 17.84 13674 1725 417
78 3 6000 19.61 20.85 19096 833 6486
78 3 506 12.94 12.03 3151 393 2226
78 3 924 15 11.9 4468 547 3402
78 3 40000 43.89 46.66 150000 667 6540
78 3 83.5 10.36 7.04 757 202 867
78 3 7054 7.15 16 18000 1810 780
78 3 268 11.75 8.41 1723 311 1631
78 3 1342 14.1 12.85 5670 571 4567
78 3 224 9.99 8.45 1542 289 1548
78 3 12800 11.43 17.07 21319 1941 1019
78 3 2960 13.65 15.93 10659 872 3983
79 3 149 10.67 7.62 1247 282 1334
79 3 2960 15.37 14.3 10886 916 5106
79 3 9120 23.72 25.27 30935 916 7495
79 3 149 11.58 7.6 1220 241 1327
79 3 17108 12 18.7 16100 2500 3700
80 3 1342 15.85 14.37 6600 488 1167
80 3 566 15.55 11.41 3842 325 642
80 3 1780 11.05 10.79 6150 907 1222
81 3 38320 47.57 48.51 136080 863 5749
81 3 1750 22.81 21.59 11793 393 1697
82 3 746 17.23 14.86 5500 282 1280
82 3 10000 10.43 16.51 21772 2156 4630
82 3 11152 26.34 28.55 40597 778 2473
82 3 32000 37.95 47.32 104325 863 4800
82 3 3580 30.63 26.06 22090 474 1545
83 3 2237 19.78 20 9600 500 2907
84 3 1400 9.69 10.93 4650 740 1500
